ID:
	char_243_waaifu

干员代号\Name:
	槐琥
	ワイフー
	Waai Fu
	와이후

招聘合同\Character Usage:
	来自龙门的实习干员槐琥，在干员综合测试中获得了相当高的分数。
	龍門からの実習生ワイフー。オペレーターの総合テストでは、かなりの高得点を獲得している。
	Waai Fu, intern Operator from Lungmen, received high marks in the comprehensive entrance examination.
	용문에서 온 인턴 오퍼레이터 와이후는 오퍼레이터 종합 평가에서 상당히 높은 점수를 얻었습니다.

合同描述\Character Description:
	绝不承认自己就是冬青木区大学生行侠仗义第一人。
	正義感の強さはヒイラギ区の大学生でもトップ。ただ、本人はそれを認めない。
	Will never admit that she's the first hero of justice to graduate from her university.
	자기가 윈터그린에서 정의의 사도로 활약하고 있다는 걸 절대 인정하지 않는다.

信物\Potential Item:
	一本以古怪字体写就的秘传拳谱。作为工具书，或许有参考的价值......吧？
	変わった言葉で書かれた拳法秘伝の書。参考書として参考にする価値はある……かも？
	An old martial arts scroll written in an undiscernable text. At least it'll have some value as a reference material… right?
	괴상한 글씨체로 쓰여진 비전의 권법서. 연구자료로는 참고할 만한 가치가… 있을지도?

天赋\Talents:
	红眉咏春
	紅眉詠春
	Red Browed Wing Chun
	홍미영춘권

技能\Skills:
	寸劲
	寸勁
	One-inch Punch
	촌경

	七武掠阵踢
	七武掠陣脚
	Seven-styles Kick
	칠무약진각

语音\Voices:
	博士你要去哪，现在不是值班时间吗？要去买午餐？那我陪你去吧，我也有些想买的东西，正好可以充当一下你的护卫。
	ドクター、まだ仕事中ですよ。どこに行くんですか？お昼を買いに？では私もお供しましょう。ちょうど買いたいものもありますし、ドクターの護衛もできますから。
	Doctor, where are you going? Shouldn't you be working? Lunch? Well then, I'm coming along. There's a few things I want to buy, and I can protect you too.
	박사님, 아직 근무시간이에요. 어디 가시는 거예요? 점심을 사러요? 그럼 저도 같이 갈게요. 마침 사고 싶은 것도 있고, 박사님도 호위할 수 있으니까요.

	抱歉博士，罗德岛的工作我只能当作一份兼职，毕竟只有完成学业我才能拥有正常的未来，直接脱离社会之类的，恕我拒绝。
	ごめんなさい、ドクター。私はまだ学生の身、ロドスでの仕事はあくまでアルバイトでしかありません。学業を疎かにする者に真っ当な未来などありませんから。ましてや、社会から逸脱するなど、まさに愚の骨頂です。
	Sorry, Doctor, Rhodes Island is just a part-time job for me. I have to study hard to make sure I have a nice, normal future ahead of me. I am committed to keeping in touch with everyday society.
	죄송해요, 박사님. 전 아직 학생의 몸이라 로도스 아일랜드의 일은 어디까지나 아르바이트에 불과해요. 학업을 등한시하는 자에게 제대로 된 미래 따윈 없으니까요. 하물며 사회에서 일탈하는 건 더없이 어리석은 짓이에요.

